Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GWP,20-yr,100-yr,,,,,,,,,
VKT (km/bus/yr),,,,Currency exchange rate,,,,,,,,,,,Unit conversions,,,CO2,1,1,,,,,,,,,
,,BSII_diesel,BSIII_diesel,BSIV_diesel,BSVI_diesel,BSVI_hybrid,BSVI_CNG,BEB,,,,,,,,,,,,,,,,,,,,,
,midi,0.00,0.00,0.00,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,
,midi_AC,0.00,0.00,0.00,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,
,standard,0.21,0.19,0.05,0.001,0.001,0.001,0.000,,,,,,,,,,,,,,,,,,,,,
,standard_AC,0.21,0.19,0.05,0.001,0.001,0.001,0.000,,,,,,,,,,,,,,,,,,,,,
,articulated,0.00,0.00,0.00,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,
,articulated_AC,0.00,0.00,0.00,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC tailpipe emission factor (g/km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BSII_diesel,BSIII_diesel,BSIV_diesel,BSVI_diesel,BSVI_hybrid,BSVI_CNG,BEB,,,,,,,,,,,,,,,,,,,,,
,midi,0.00,0.00,0.00,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,
,midi_AC,0.00,0.00,0.00,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,
,standard,0.04,0.04,0.01,0.001,0.001,0.002,0.000,,,,,,,,,,,,,,,,,,,,,
,standard_AC,0.04,0.04,0.01,0.001,0.001,0.002,0.000,,,,,,,,,,,,,,,,,,,,,
,articulated,0.00,0.00,0.00,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,
,articulated_AC,0.00,0.00,0.00,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO tailpipe emission factor (g/km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BSII_diesel,BSIII_diesel,BSIV_diesel,BSVI_diesel,BSVI_hybrid,BSVI_CNG,BEB,,,,,,,,,,,,,,,,,,,,,
,midi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
,midi_AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
,standard,2.976,3.185,1.448,0.288,0.288,0.288,0.000,,,,,,,,,,,,,,,,,,,,,
,standard_AC,2.976,3.185,1.448,0.288,0.288,0.288,0.000,,,,,,,,,,,,,,,,,,,,,
,articulated,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,articulated_AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC tailpipe emission factor (g/km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BSII_diesel,BSIII_diesel,BSIV_diesel,BSVI_diesel,BSVI_hybrid,BSVI_CNG,BEB,,,,,,,,,,,,,,,,,,,,,
,midi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
